週,ブロック,フェーズ,曜日,セッション,順番,種目,メイン,セット,レップ,重量,kg,%1RM,RPE,休憩,対象,メモ,BJJメモ
5,筋力×肥大,MAV超,月,ベンチ＋フロントスクワット＋胸,1,ベンチプレス,○,4,6,95,95,75,7.5,3.5分,胸,脚ドライブを使う。軌道は下胸。,
5,筋力×肥大,MAV超,月,ベンチ＋フロントスクワット＋胸,2,フロントスクワット,,3,6,100,100,,8,3分,四頭,週2四頭の月。クリーングリップかクロスアーム。肘を高く、胴を立てたまま。木曜バックと合わせてMEV以上。,
5,筋力×肥大,MAV超,月,ベンチ＋フロントスクワット＋胸,3,クローズグリップベンチ,,4,8,80,80,,8,2分,胸・三頭,握りは肩幅。肘を体側に寄せ、三頭と内側胸を狙う。,フレームとポストの肘伸展に直結。
5,筋力×肥大,MAV超,月,ベンチ＋フロントスクワット＋胸,4,懸垂（プロネイト）,,3,8,自重+2.5,77.5,,8,2分,背中・二頭,胸をバーに近づける。8回できなければレストポーズで規定回数を揃える。加重はプレートを足に挟むかリュック。,ガード引き込み・クリメ。最終セットは顎オーバーで3秒保持。
5,筋力×肥大,MAV超,月,ベンチ＋フロントスクワット＋胸,5,プレートサイドレイズ,,3,12-15,10,10,,8,1分,肩,小指側を少し上げ、肩の高さ直前で止める。下部で伸張位を1秒。週内に分散した肩の1本。,
5,筋力×肥大,MAV超,月,ベンチ＋フロントスクワット＋胸,6,バーベルシュラッグ,,3,10-12,132.5,132.5,,8,1分15秒,僧帽,肩を耳に近づける。回転させない。1秒収縮。ストラップ可。僧帽は週4日に薄く分散。,襟を持つ姿勢の維持。
5,筋力×肥大,MAV超,火,デッド＋背中・僧帽,1,デッドリフト,○,4,5,132.5,132.5,75,7.5,4分,後面,通常引き開始。床を足で押す。,火曜実施。日曜BJJまで中2日以上空く。ハードローリング週でも%は維持。
5,筋力×肥大,MAV超,火,デッド＋背中・僧帽,2,ベントオーバーロウ,,4,8,72.5,72.5,,8,2分,背中,体幹は床とほぼ平行。バーをお腹に引く。デッドの後なので重量は欲張らない。,プルとクローズの姿勢。
5,筋力×肥大,MAV超,火,デッド＋背中・僧帽,3,チンアップ（アンダーグリップ）,,3,8,自重+2.5,77.5,,8,2分,背中・二頭,手のひら向き。胸をバーへ。8回未満ならレストポーズ。,ガードリテンションの二頭。最終セットは10秒ぶら下がり。
5,筋力×肥大,MAV超,火,デッド＋背中・僧帽,4,バーベルアップライトロウ,,3,10,47.5,47.5,,8,1分15秒,肩・僧帽,握りは肩幅以上。バーは鎖骨まで。狭い握りは肩の衝突リスクがあるので避ける。,
5,筋力×肥大,MAV超,火,デッド＋背中・僧帽,5,バーベルシュラッグ,,3,12,125,125,,8,1分15秒,僧帽,デッドの後なので重量はDay Aより2.5〜5kg軽くてもよい。収縮を優先。セットは抑えめ（他日と分散）。,
5,筋力×肥大,MAV超,水,OHP＋腕・肩,1,オーバーヘッドプレス,○,4,6,57.5,57.5,72.5,7.5,3.5分,肩,肘は体のやや前方。,
5,筋力×肥大,MAV超,水,OHP＋腕・肩,2,プレートサイドレイズ,,3,15,10,10,,8,1分,肩,やや前傾。プレートの縁を持つ。パンプ優先で休憩は短く。フロント／リアは木曜へ移し、この日の肩集中を避ける。,
5,筋力×肥大,MAV超,水,OHP＋腕・肩,3,スカルクラッシャー,,3,10,37.5,37.5,,8,1分15秒,三頭,バーベルを額のやや後ろへ。肘を開かない。肩を少し伸ばして長頭を使う。月曜から移し、三頭を週内分散。,エビ・ポストの肘伸ばし持久。
5,筋力×肥大,MAV超,水,OHP＋腕・肩,4,プレートオーバーヘッドエクステンション,,3,12,12.5,12.5,,8,1分15秒,三頭,プレートを両手で持ち、肘を耳の横に固定して頭の後ろへ。三頭長頭。,頭上からのフレーム維持。
5,筋力×肥大,MAV超,水,OHP＋腕・肩,5,バーベルカール,,3,10,32.5,32.5,,8,1分,二頭,肘を体側。下ろし3秒。金曜の高レップと分け、二頭を週2以上に分散。,クローズドガードの引き。
5,筋力×肥大,MAV超,木,スクワット＋後面＋肩・胸,1,バックスクワット,○,3,5,132.5,132.5,75,7.5,3.5分,四頭,月曜フロントと合わせてMEV付近。,
5,筋力×肥大,MAV超,木,スクワット＋後面＋肩・胸,2,ルーマニアンデッドリフト,,4,8,117.5,117.5,,8,2分30秒,後面,膝は軽く曲げ、バーは腿に沿わせて下ろす。ハムの伸びを感じたら戻す。腰を丸めない。デッドと合わせて後面をMEV〜MAVへ。,ヒップヒンジとタックル耐性。
5,筋力×肥大,MAV超,木,スクワット＋後面＋肩・胸,3,スポトプレス,,3,8,82.5,82.5,,8,2分,胸,胸の2〜3cm上で1秒停止。大胸筋の緊張を切らない。ピークMRV週はメインのセット不足をここで補う。,
5,筋力×肥大,MAV超,木,スクワット＋後面＋肩・胸,4,プレートフロントレイズ,,3,12,7.5,7.5,,8,1分,肩,腕はほぼ伸ばしたまま、顔の高さまで。反動禁止。水曜OHP日から移し、肩の日内集中を避ける。,
5,筋力×肥大,MAV超,木,スクワット＋後面＋肩・胸,5,プレートリアデルトフライ,,3,15,5,5,,8,1分,肩,前傾し、小指側から開く。僧帽で引かない。重量より位置。水曜から移して肩を分散。,姿勢を保つ肩甲骨周り。
5,筋力×肥大,MAV超,木,スクワット＋後面＋肩・胸,6,バーベルシュラッグ,,3,12,125,125,,8,1分15秒,僧帽,収縮1秒。首を前に出さない。僧帽の週内分散枠。,
5,筋力×肥大,MAV超,金,胸・腕のBJJポンプ,1,フロアプレス,,3,8,87.5,87.5,,8,2分,胸・三頭,ブロック1-2はフロアプレス（上腕が床についたら1秒）。ブロック3-4は胸で1秒ポーズベンチ。金曜は重量より精度。,胸の圧と三頭のロックアウト。日曜ロールの前々日なのでRPEを守る。
5,筋力×肥大,MAV超,金,胸・腕のBJJポンプ,2,懸垂（筋持久）,,3,AMRAP-1,自重,75,,8,1分,背中・二頭,休憩を短くする。最後のセットはAMRAP（1レップ残し）。加重は控えめ。,ロール中の引き持久。試合週はAMRAPをやめる。
5,筋力×肥大,MAV超,金,胸・腕のBJJポンプ,3,プレートサイドレイズ,,3,15,10,10,,8,1分,肩,この日は仕上げ。少し軽いプレートでも可。片側ずつでもよい。,
5,筋力×肥大,MAV超,金,胸・腕のBJJポンプ,4,バーベルカール（高レップ）,,3,15,32.5,32.5,,8,45秒,二頭,BJJ用密度。休憩45秒。水曜カールと分け、金曜は高レップ寄り。,クローズドガードの引き、襟制御。試合週はRPE7で打切り。
5,筋力×肥大,MAV超,金,胸・腕のBJJポンプ,5,ナロープッシュアップ,,3,15,自重,75,,8,45秒,胸・三頭,手は肩幅より狭く。胸を床すれすれまで。途中で止まったらレストポーズで規定回数へ。,胸と三頭の密度。ガードパスの圧。最後のセットは6秒フレーム姿勢。
5,筋力×肥大,MAV超,金,胸・腕のBJJポンプ,6,バーベルシュラッグ,,3,12,127.5,127.5,,8,1分15秒,僧帽,収縮1秒。首を前に出さない。金曜は中重量。セットは他日と分散した残り枠。,
6,筋力×肥大,ビルド,月,ベンチ＋フロントスクワット＋胸,1,ベンチプレス,○,4,6,97.5,97.5,77.5,8,3.5分,胸,バーをレールに乗せる意識。,
6,筋力×肥大,ビルド,月,ベンチ＋フロントスクワット＋胸,2,フロントスクワット,,4,6,102.5,102.5,,8.5,3分,四頭,週2四頭の月。クリーングリップかクロスアーム。肘を高く、胴を立てたまま。木曜バックと合わせてMEV以上。,
6,筋力×肥大,ビルド,月,ベンチ＋フロントスクワット＋胸,3,クローズグリップベンチ,,4,8,82.5,82.5,,8.5,2分,胸・三頭,握りは肩幅。肘を体側に寄せ、三頭と内側胸を狙う。,フレームとポストの肘伸展に直結。
6,筋力×肥大,ビルド,月,ベンチ＋フロントスクワット＋胸,4,懸垂（プロネイト）,,3,8,自重+2.5,77.5,,8.5,2分,背中・二頭,胸をバーに近づける。8回できなければレストポーズで規定回数を揃える。加重はプレートを足に挟むかリュック。,ガード引き込み・クリメ。最終セットは顎オーバーで3秒保持。
6,筋力×肥大,ビルド,月,ベンチ＋フロントスクワット＋胸,5,プレートサイドレイズ,,3,12-15,10,10,,8.5,1分,肩,小指側を少し上げ、肩の高さ直前で止める。下部で伸張位を1秒。週内に分散した肩の1本。,
6,筋力×肥大,ビルド,月,ベンチ＋フロントスクワット＋胸,6,バーベルシュラッグ,,3,10-12,135,135,,8.5,1分15秒,僧帽,肩を耳に近づける。回転させない。1秒収縮。ストラップ可。僧帽は週4日に薄く分散。,襟を持つ姿勢の維持。
6,筋力×肥大,ビルド,火,デッド＋背中・僧帽,1,デッドリフト,○,5,4,135,135,77.5,8,4分,後面,セット間4分。ベルトは任意。,火曜実施。日曜BJJまで中2日以上空く。ハードローリング週でも%は維持。
6,筋力×肥大,ビルド,火,デッド＋背中・僧帽,2,ベントオーバーロウ,,4,8,75,75,,8.5,2分,背中,体幹は床とほぼ平行。バーをお腹に引く。デッドの後なので重量は欲張らない。,プルとクローズの姿勢。
6,筋力×肥大,ビルド,火,デッド＋背中・僧帽,3,チンアップ（アンダーグリップ）,,3,8,自重+2.5,77.5,,8.5,2分,背中・二頭,手のひら向き。胸をバーへ。8回未満ならレストポーズ。,ガードリテンションの二頭。最終セットは10秒ぶら下がり。
6,筋力×肥大,ビルド,火,デッド＋背中・僧帽,4,バーベルアップライトロウ,,3,10,50,50,,8.5,1分15秒,肩・僧帽,握りは肩幅以上。バーは鎖骨まで。狭い握りは肩の衝突リスクがあるので避ける。,
6,筋力×肥大,ビルド,火,デッド＋背中・僧帽,5,バーベルシュラッグ,,3,12,127.5,127.5,,8.5,1分15秒,僧帽,デッドの後なので重量はDay Aより2.5〜5kg軽くてもよい。収縮を優先。セットは抑えめ（他日と分散）。,
6,筋力×肥大,ビルド,水,OHP＋腕・肩,1,オーバーヘッドプレス,○,4,6,60,60,75,8,3.5分,肩,握りは肩幅より拳一つ外。,
6,筋力×肥大,ビルド,水,OHP＋腕・肩,2,プレートサイドレイズ,,3,15,10,10,,8.5,1分,肩,やや前傾。プレートの縁を持つ。パンプ優先で休憩は短く。フロント／リアは木曜へ移し、この日の肩集中を避ける。,
6,筋力×肥大,ビルド,水,OHP＋腕・肩,3,スカルクラッシャー,,3,10,40,40,,8.5,1分15秒,三頭,バーベルを額のやや後ろへ。肘を開かない。肩を少し伸ばして長頭を使う。月曜から移し、三頭を週内分散。,エビ・ポストの肘伸ばし持久。
6,筋力×肥大,ビルド,水,OHP＋腕・肩,4,プレートオーバーヘッドエクステンション,,3,12,15,15,,8.5,1分15秒,三頭,プレートを両手で持ち、肘を耳の横に固定して頭の後ろへ。三頭長頭。,頭上からのフレーム維持。
6,筋力×肥大,ビルド,水,OHP＋腕・肩,5,バーベルカール,,3,10,35,35,,8.5,1分,二頭,肘を体側。下ろし3秒。金曜の高レップと分け、二頭を週2以上に分散。,クローズドガードの引き。
6,筋力×肥大,ビルド,木,スクワット＋後面＋肩・胸,1,バックスクワット,○,3,4,135,135,77.5,8,3.5分,四頭,ブレースを先に作ってからしゃがむ。,
6,筋力×肥大,ビルド,木,スクワット＋後面＋肩・胸,2,ルーマニアンデッドリフト,,4,8,120,120,,8.5,2分30秒,後面,膝は軽く曲げ、バーは腿に沿わせて下ろす。ハムの伸びを感じたら戻す。腰を丸めない。デッドと合わせて後面をMEV〜MAVへ。,ヒップヒンジとタックル耐性。
6,筋力×肥大,ビルド,木,スクワット＋後面＋肩・胸,3,スポトプレス,,4,8,85,85,,8.5,2分,胸,胸の2〜3cm上で1秒停止。大胸筋の緊張を切らない。ピークMRV週はメインのセット不足をここで補う。,
6,筋力×肥大,ビルド,木,スクワット＋後面＋肩・胸,4,プレートフロントレイズ,,3,12,7.5,7.5,,8.5,1分,肩,腕はほぼ伸ばしたまま、顔の高さまで。反動禁止。水曜OHP日から移し、肩の日内集中を避ける。,
6,筋力×肥大,ビルド,木,スクワット＋後面＋肩・胸,5,プレートリアデルトフライ,,3,15,5,5,,8.5,1分,肩,前傾し、小指側から開く。僧帽で引かない。重量より位置。水曜から移して肩を分散。,姿勢を保つ肩甲骨周り。
6,筋力×肥大,ビルド,木,スクワット＋後面＋肩・胸,6,バーベルシュラッグ,,3,12,127.5,127.5,,8.5,1分15秒,僧帽,収縮1秒。首を前に出さない。僧帽の週内分散枠。,
6,筋力×肥大,ビルド,金,胸・腕のBJJポンプ,1,フロアプレス,,4,8,90,90,,8.5,2分,胸・三頭,ブロック1-2はフロアプレス（上腕が床についたら1秒）。ブロック3-4は胸で1秒ポーズベンチ。金曜は重量より精度。,胸の圧と三頭のロックアウト。日曜ロールの前々日なのでRPEを守る。
6,筋力×肥大,ビルド,金,胸・腕のBJJポンプ,2,懸垂（筋持久）,,3,AMRAP-1,自重,75,,8.5,1分,背中・二頭,休憩を短くする。最後のセットはAMRAP（1レップ残し）。加重は控えめ。,ロール中の引き持久。試合週はAMRAPをやめる。
6,筋力×肥大,ビルド,金,胸・腕のBJJポンプ,3,プレートサイドレイズ,,3,15,10,10,,8.5,1分,肩,この日は仕上げ。少し軽いプレートでも可。片側ずつでもよい。,
6,筋力×肥大,ビルド,金,胸・腕のBJJポンプ,4,バーベルカール（高レップ）,,3,15,35,35,,8.5,45秒,二頭,BJJ用密度。休憩45秒。水曜カールと分け、金曜は高レップ寄り。,クローズドガードの引き、襟制御。試合週はRPE7で打切り。
6,筋力×肥大,ビルド,金,胸・腕のBJJポンプ,5,ナロープッシュアップ,,3,15,自重,75,,8.5,45秒,胸・三頭,手は肩幅より狭く。胸を床すれすれまで。途中で止まったらレストポーズで規定回数へ。,胸と三頭の密度。ガードパスの圧。最後のセットは6秒フレーム姿勢。
6,筋力×肥大,ビルド,金,胸・腕のBJJポンプ,6,バーベルシュラッグ,,3,12,130,130,,8.5,1分15秒,僧帽,収縮1秒。首を前に出さない。金曜は中重量。セットは他日と分散した残り枠。,
7,筋力×肥大,MRV週,月,ベンチ＋フロントスクワット＋胸,1,ベンチプレス,○,5,5,100,100,80,8.5,3.5分,胸,MRV週。補助者なしなら最後は1レップ残す。,
7,筋力×肥大,MRV週,月,ベンチ＋フロントスクワット＋胸,2,フロントスクワット,,4,6,105,105,,9,3分,四頭,週2四頭の月。クリーングリップかクロスアーム。肘を高く、胴を立てたまま。木曜バックと合わせてMEV以上。,
7,筋力×肥大,MRV週,月,ベンチ＋フロントスクワット＋胸,3,クローズグリップベンチ,,4,8,85,85,,9,2分,胸・三頭,握りは肩幅。肘を体側に寄せ、三頭と内側胸を狙う。,フレームとポストの肘伸展に直結。
7,筋力×肥大,MRV週,月,ベンチ＋フロントスクワット＋胸,4,懸垂（プロネイト）,,4,8,自重+2.5,77.5,,9,2分,背中・二頭,胸をバーに近づける。8回できなければレストポーズで規定回数を揃える。加重はプレートを足に挟むかリュック。,ガード引き込み・クリメ。最終セットは顎オーバーで3秒保持。
7,筋力×肥大,MRV週,月,ベンチ＋フロントスクワット＋胸,5,プレートサイドレイズ,,4,12-15,10,10,,9,1分,肩,小指側を少し上げ、肩の高さ直前で止める。下部で伸張位を1秒。週内に分散した肩の1本。,
7,筋力×肥大,MRV週,月,ベンチ＋フロントスクワット＋胸,6,バーベルシュラッグ,,4,10-12,137.5,137.5,,9,1分15秒,僧帽,肩を耳に近づける。回転させない。1秒収縮。ストラップ可。僧帽は週4日に薄く分散。,襟を持つ姿勢の維持。
7,筋力×肥大,MRV週,火,デッド＋背中・僧帽,1,デッドリフト,○,5,4,140,140,80,8.5,4分,後面,上背を固めてロックアウト。僧帽はシュラッグで別途。,火曜実施。日曜BJJまで中2日以上空く。ハードローリング週でも%は維持。
7,筋力×肥大,MRV週,火,デッド＋背中・僧帽,2,ベントオーバーロウ,,4,8,77.5,77.5,,9,2分,背中,体幹は床とほぼ平行。バーをお腹に引く。デッドの後なので重量は欲張らない。,プルとクローズの姿勢。
7,筋力×肥大,MRV週,火,デッド＋背中・僧帽,3,チンアップ（アンダーグリップ）,,4,8,自重+2.5,77.5,,9,2分,背中・二頭,手のひら向き。胸をバーへ。8回未満ならレストポーズ。,ガードリテンションの二頭。最終セットは10秒ぶら下がり。
7,筋力×肥大,MRV週,火,デッド＋背中・僧帽,4,バーベルアップライトロウ,,4,10,52.5,52.5,,9,1分15秒,肩・僧帽,握りは肩幅以上。バーは鎖骨まで。狭い握りは肩の衝突リスクがあるので避ける。,
7,筋力×肥大,MRV週,火,デッド＋背中・僧帽,5,バーベルシュラッグ,,4,12,130,130,,9,1分15秒,僧帽,デッドの後なので重量はDay Aより2.5〜5kg軽くてもよい。収縮を優先。セットは抑えめ（他日と分散）。,
7,筋力×肥大,MRV週,水,OHP＋腕・肩,1,オーバーヘッドプレス,○,4,5,62.5,62.5,77.5,8.5,3.5分,肩,サイドレイズの前に肩を潰さない。,
7,筋力×肥大,MRV週,水,OHP＋腕・肩,2,プレートサイドレイズ,,4,15,10,10,,9,1分,肩,やや前傾。プレートの縁を持つ。パンプ優先で休憩は短く。フロント／リアは木曜へ移し、この日の肩集中を避ける。,
7,筋力×肥大,MRV週,水,OHP＋腕・肩,3,スカルクラッシャー,,4,10,42.5,42.5,,9,1分15秒,三頭,バーベルを額のやや後ろへ。肘を開かない。肩を少し伸ばして長頭を使う。月曜から移し、三頭を週内分散。,エビ・ポストの肘伸ばし持久。
7,筋力×肥大,MRV週,水,OHP＋腕・肩,4,プレートオーバーヘッドエクステンション,,3,12,17.5,17.5,,9,1分15秒,三頭,プレートを両手で持ち、肘を耳の横に固定して頭の後ろへ。三頭長頭。,頭上からのフレーム維持。
7,筋力×肥大,MRV週,水,OHP＋腕・肩,5,バーベルカール,,3,10,37.5,37.5,,9,1分,二頭,肘を体側。下ろし3秒。金曜の高レップと分け、二頭を週2以上に分散。,クローズドガードの引き。
7,筋力×肥大,MRV週,木,スクワット＋後面＋肩・胸,1,バックスクワット,○,3,4,140,140,80,8.5,3.5分,四頭,上半身MRV週。四頭セットは増やさない。,
7,筋力×肥大,MRV週,木,スクワット＋後面＋肩・胸,2,ルーマニアンデッドリフト,,5,8,122.5,122.5,,9,2分30秒,後面,膝は軽く曲げ、バーは腿に沿わせて下ろす。ハムの伸びを感じたら戻す。腰を丸めない。デッドと合わせて後面をMEV〜MAVへ。,ヒップヒンジとタックル耐性。
7,筋力×肥大,MRV週,木,スクワット＋後面＋肩・胸,3,スポトプレス,,5,8,87.5,87.5,,9,2分,胸,胸の2〜3cm上で1秒停止。大胸筋の緊張を切らない。ピークMRV週はメインのセット不足をここで補う。,
7,筋力×肥大,MRV週,木,スクワット＋後面＋肩・胸,4,プレートフロントレイズ,,4,12,7.5,7.5,,9,1分,肩,腕はほぼ伸ばしたまま、顔の高さまで。反動禁止。水曜OHP日から移し、肩の日内集中を避ける。,
7,筋力×肥大,MRV週,木,スクワット＋後面＋肩・胸,5,プレートリアデルトフライ,,4,15,5,5,,9,1分,肩,前傾し、小指側から開く。僧帽で引かない。重量より位置。水曜から移して肩を分散。,姿勢を保つ肩甲骨周り。
7,筋力×肥大,MRV週,木,スクワット＋後面＋肩・胸,6,バーベルシュラッグ,,4,12,130,130,,9,1分15秒,僧帽,収縮1秒。首を前に出さない。僧帽の週内分散枠。,
7,筋力×肥大,MRV週,金,胸・腕のBJJポンプ,1,フロアプレス,,5,8,92.5,92.5,,9,2分,胸・三頭,ブロック1-2はフロアプレス（上腕が床についたら1秒）。ブロック3-4は胸で1秒ポーズベンチ。金曜は重量より精度。,胸の圧と三頭のロックアウト。日曜ロールの前々日なのでRPEを守る。
7,筋力×肥大,MRV週,金,胸・腕のBJJポンプ,2,懸垂（筋持久）,,3,AMRAP-1,自重,75,,9,1分,背中・二頭,休憩を短くする。最後のセットはAMRAP（1レップ残し）。加重は控えめ。,ロール中の引き持久。試合週はAMRAPをやめる。
7,筋力×肥大,MRV週,金,胸・腕のBJJポンプ,3,プレートサイドレイズ,,4,15,10,10,,9,1分,肩,この日は仕上げ。少し軽いプレートでも可。片側ずつでもよい。,
7,筋力×肥大,MRV週,金,胸・腕のBJJポンプ,4,バーベルカール（高レップ）,,4,15,37.5,37.5,,9,45秒,二頭,BJJ用密度。休憩45秒。水曜カールと分け、金曜は高レップ寄り。,クローズドガードの引き、襟制御。試合週はRPE7で打切り。
7,筋力×肥大,MRV週,金,胸・腕のBJJポンプ,5,ナロープッシュアップ,,5,15,自重,75,,9,45秒,胸・三頭,手は肩幅より狭く。胸を床すれすれまで。途中で止まったらレストポーズで規定回数へ。,胸と三頭の密度。ガードパスの圧。最後のセットは6秒フレーム姿勢。
7,筋力×肥大,MRV週,金,胸・腕のBJJポンプ,6,バーベルシュラッグ,,4,12,132.5,132.5,,9,1分15秒,僧帽,収縮1秒。首を前に出さない。金曜は中重量。セットは他日と分散した残り枠。,
8,筋力×肥大,ディロード,月,ベンチ＋フロントスクワット＋胸,1,ベンチプレス,○,2,5,77.5,77.5,62.5,5,3.5分,胸,ディロード。,
8,筋力×肥大,ディロード,月,ベンチ＋フロントスクワット＋胸,2,フロントスクワット,,2,6,90,90,,6,3分,四頭,週2四頭の月。クリーングリップかクロスアーム。肘を高く、胴を立てたまま。木曜バックと合わせてMEV以上。,
8,筋力×肥大,ディロード,月,ベンチ＋フロントスクワット＋胸,3,クローズグリップベンチ,,2,8,72.5,72.5,,6,2分,胸・三頭,握りは肩幅。肘を体側に寄せ、三頭と内側胸を狙う。,フレームとポストの肘伸展に直結。
8,筋力×肥大,ディロード,月,ベンチ＋フロントスクワット＋胸,4,懸垂（プロネイト）,,2,8,自重,75,,6,2分,背中・二頭,胸をバーに近づける。8回できなければレストポーズで規定回数を揃える。加重はプレートを足に挟むかリュック。,ガード引き込み・クリメ。最終セットは顎オーバーで3秒保持。
8,筋力×肥大,ディロード,月,ベンチ＋フロントスクワット＋胸,5,プレートサイドレイズ,,2,12-15,5,5,,6,1分,肩,小指側を少し上げ、肩の高さ直前で止める。下部で伸張位を1秒。週内に分散した肩の1本。,
8,筋力×肥大,ディロード,月,ベンチ＋フロントスクワット＋胸,6,バーベルシュラッグ,,2,10-12,117.5,117.5,,6,1分15秒,僧帽,肩を耳に近づける。回転させない。1秒収縮。ストラップ可。僧帽は週4日に薄く分散。,襟を持つ姿勢の維持。
8,筋力×肥大,ディロード,火,デッド＋背中・僧帽,1,デッドリフト,○,2,3,110,110,62.5,5,4分,後面,ディロード。,火曜実施。日曜BJJまで中2日以上空く。ハードローリング週でも%は維持。
8,筋力×肥大,ディロード,火,デッド＋背中・僧帽,2,ベントオーバーロウ,,2,8,65,65,,6,2分,背中,体幹は床とほぼ平行。バーをお腹に引く。デッドの後なので重量は欲張らない。,プルとクローズの姿勢。
8,筋力×肥大,ディロード,火,デッド＋背中・僧帽,3,チンアップ（アンダーグリップ）,,2,8,自重,75,,6,2分,背中・二頭,手のひら向き。胸をバーへ。8回未満ならレストポーズ。,ガードリテンションの二頭。最終セットは10秒ぶら下がり。
8,筋力×肥大,ディロード,火,デッド＋背中・僧帽,4,バーベルアップライトロウ,,2,10,45,45,,6,1分15秒,肩・僧帽,握りは肩幅以上。バーは鎖骨まで。狭い握りは肩の衝突リスクがあるので避ける。,
8,筋力×肥大,ディロード,火,デッド＋背中・僧帽,5,バーベルシュラッグ,,2,12,110,110,,6,1分15秒,僧帽,デッドの後なので重量はDay Aより2.5〜5kg軽くてもよい。収縮を優先。セットは抑えめ（他日と分散）。,
8,筋力×肥大,ディロード,水,OHP＋腕・肩,1,オーバーヘッドプレス,○,2,5,50,50,62.5,5,3.5分,肩,ディロード。,
8,筋力×肥大,ディロード,水,OHP＋腕・肩,2,プレートサイドレイズ,,2,15,5,5,,6,1分,肩,やや前傾。プレートの縁を持つ。パンプ優先で休憩は短く。フロント／リアは木曜へ移し、この日の肩集中を避ける。,
8,筋力×肥大,ディロード,水,OHP＋腕・肩,3,スカルクラッシャー,,2,10,35,35,,6,1分15秒,三頭,バーベルを額のやや後ろへ。肘を開かない。肩を少し伸ばして長頭を使う。月曜から移し、三頭を週内分散。,エビ・ポストの肘伸ばし持久。
8,筋力×肥大,ディロード,水,OHP＋腕・肩,4,プレートオーバーヘッドエクステンション,,2,12,15,15,,6,1分15秒,三頭,プレートを両手で持ち、肘を耳の横に固定して頭の後ろへ。三頭長頭。,頭上からのフレーム維持。
8,筋力×肥大,ディロード,水,OHP＋腕・肩,5,バーベルカール,,2,10,32.5,32.5,,6,1分,二頭,肘を体側。下ろし3秒。金曜の高レップと分け、二頭を週2以上に分散。,クローズドガードの引き。
8,筋力×肥大,ディロード,木,スクワット＋後面＋肩・胸,1,バックスクワット,○,2,5,110,110,62.5,5,3.5分,四頭,ディロード。,
8,筋力×肥大,ディロード,木,スクワット＋後面＋肩・胸,2,ルーマニアンデッドリフト,,2,8,105,105,,6,2分30秒,後面,膝は軽く曲げ、バーは腿に沿わせて下ろす。ハムの伸びを感じたら戻す。腰を丸めない。デッドと合わせて後面をMEV〜MAVへ。,ヒップヒンジとタックル耐性。
8,筋力×肥大,ディロード,木,スクワット＋後面＋肩・胸,3,スポトプレス,,2,8,75,75,,6,2分,胸,胸の2〜3cm上で1秒停止。大胸筋の緊張を切らない。ピークMRV週はメインのセット不足をここで補う。,
8,筋力×肥大,ディロード,木,スクワット＋後面＋肩・胸,4,プレートフロントレイズ,,2,12,5,5,,6,1分,肩,腕はほぼ伸ばしたまま、顔の高さまで。反動禁止。水曜OHP日から移し、肩の日内集中を避ける。,
8,筋力×肥大,ディロード,木,スクワット＋後面＋肩・胸,5,プレートリアデルトフライ,,2,15,2.5,2.5,,6,1分,肩,前傾し、小指側から開く。僧帽で引かない。重量より位置。水曜から移して肩を分散。,姿勢を保つ肩甲骨周り。
8,筋力×肥大,ディロード,木,スクワット＋後面＋肩・胸,6,バーベルシュラッグ,,2,12,110,110,,6,1分15秒,僧帽,収縮1秒。首を前に出さない。僧帽の週内分散枠。,
8,筋力×肥大,ディロード,金,胸・腕のBJJポンプ,1,フロアプレス,,2,8,77.5,77.5,,6,2分,胸・三頭,ブロック1-2はフロアプレス（上腕が床についたら1秒）。ブロック3-4は胸で1秒ポーズベンチ。金曜は重量より精度。,胸の圧と三頭のロックアウト。日曜ロールの前々日なのでRPEを守る。
8,筋力×肥大,ディロード,金,胸・腕のBJJポンプ,2,懸垂（筋持久）,,2,AMRAP-1,自重,75,,6,1分,背中・二頭,休憩を短くする。最後のセットはAMRAP（1レップ残し）。加重は控えめ。,ロール中の引き持久。試合週はAMRAPをやめる。
8,筋力×肥大,ディロード,金,胸・腕のBJJポンプ,3,プレートサイドレイズ,,2,15,5,5,,6,1分,肩,この日は仕上げ。少し軽いプレートでも可。片側ずつでもよい。,
8,筋力×肥大,ディロード,金,胸・腕のBJJポンプ,4,バーベルカール（高レップ）,,2,15,32.5,32.5,,6,45秒,二頭,BJJ用密度。休憩45秒。水曜カールと分け、金曜は高レップ寄り。,クローズドガードの引き、襟制御。試合週はRPE7で打切り。
8,筋力×肥大,ディロード,金,胸・腕のBJJポンプ,5,ナロープッシュアップ,,2,15,自重,75,,6,45秒,胸・三頭,手は肩幅より狭く。胸を床すれすれまで。途中で止まったらレストポーズで規定回数へ。,胸と三頭の密度。ガードパスの圧。最後のセットは6秒フレーム姿勢。
8,筋力×肥大,ディロード,金,胸・腕のBJJポンプ,6,バーベルシュラッグ,,2,12,112.5,112.5,,6,1分15秒,僧帽,収縮1秒。首を前に出さない。金曜は中重量。セットは他日と分散した残り枠。,
9,筋力特化,MAV超,月,ベンチ＋フロントスクワット＋胸,1,ベンチプレス,○,5,5,100,100,80,7.5,3.5分,胸,セット間3.5〜4分。,
9,筋力特化,MAV超,月,ベンチ＋フロントスクワット＋胸,2,フロントスクワット,,3,5,102.5,102.5,,8,3分,四頭,週2四頭の月。クリーングリップかクロスアーム。肘を高く、胴を立てたまま。木曜バックと合わせてMEV以上。,
